label,x0,y0,dx,dy
0 -,-,-,-,-
1 -,-,-,-,-
233,2198,1436,116,86
234,2114,2247,192,279
235,2190,1352,102,97
236,2074,2093,202,198
237,2232,2191,42,44
238,2080,2859,174,252
239,2189,1274,61,80
240,2068,2677,166,211
241,2184,1365,40,77
242,2058,921,166,164
243,2132,1425,89,88
244,2169,1308,41,58
245,2158,1270,46,47
246,2140,1352,53,69
247,2074,1334,112,162
248,2100,1288,84,75
249,1895,786,265,279
250,2086,2275,50,85
251,1804,2948,319,404
252,1979,1266,133,103
253,1969,2080,138,190
254,1988,2893,115,206
255,2028,1360,60,102
256,1961,2269,125,110
257,1917,3187,162,160
258,1923,960,154,186
259,2037,2530,36,34
260,1916,1347,129,85
261,1890,2375,149,241
262,1948,2936,89,47
263,1760,1171,262,232
264,1945,2334,68,59
265,1866,2082,136,192
266,1550,1136,382,267
267,1888,1175,37,22
268,1777,2633,143,44
269,1569,2281,348,232
270,1688,2414,221,234
271,1824,1219,80,78
272,1607,2934,290,480
273,1753,2092,143,160
274,1851,1102,41,35
275,1683,2735,142,75
276,1765,1131,47,51
277,1687,1315,115,140
278,1381,2473,365,254
279,62,1910,1660,1175
280,1575,2951,93,95
281,1391,3035,264,304
282,1192,2314,439,332
283,1548,1127,81,76
284,1434,2659,161,103
285,1521,2954,51,67
286,1511,1388,54,41
287,1468,3257,86,47
288,1442,1922,82,65
289,1350,1516,96,44
290,1390,2779,52,46
291,1286,2976,153,213
292,1099,2863,319,478
293,961,2822,355,327
294,863,2319,424,395
295,183,2668,1043,709
296,1087,1239,49,48
297,1020,2197,64,91
298,1044,2120,28,49
299,367,2432,675,476
300,335,543,431,515
301,478,2339,67,65
302,396,2403,53,49
303,358,2448,56,28
304,133,2688,54,61
305 -,-,-,-,-
306 -,-,-,-,-
307 -,-,-,-,-
308 -,-,-,-,-
309 -,-,-,-,-
310 -,-,-,-,-
311 -,-,-,-,-
312 -,-,-,-,-
313 -,-,-,-,-
314 -,-,-,-,-
315 -,-,-,-,-
316 -,-,-,-,-
317 -,-,-,-,-
318 -,-,-,-,-
